,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,Contraire
Infinitif,agir,opérer,pratiquer,suggestionner,exécuter,pratiquer,circonvenir,faire,prendre,déteindre,immobiliser
Présent Je,agis,opère,pratique,suggestionne,exécute,pratique,circonviens,fais,prends,déteins,immobilise
Présent tu,agis,opères,pratiques,suggestionnes,exécutes,pratiques,circonviens,fais,prends,déteins,immobilises
Présent Il,agit,opère,pratique,suggestionne,exécute,pratique,circonvient,fait,prend,déteint,immobilise
Présent Nous,agissons,opérons,pratiquons,suggestionnons,exécutons,pratiquons,circonvenons,faisons,prenons,déteignons,immobilisons
Présent Vous,agissez,opérez,pratiquez,suggestionnez,exécutez,pratiquez,circonvenez,faites,prenez,déteignez,immobilisez
Présent Ils,agissent,opèrent,pratiquent,suggestionnent,exécutent,pratiquent,circonviennent,font,prennent,déteignent,immobilisent
Imparfait Je,agissais,opérais,pratiquais,suggestionnais,exécutais,pratiquais,circonvenais,faisais,prenais,déteignais,immobilisais
Imparfait Tu,agissais,opérais,pratiquais,suggestionnais,exécutais,pratiquais,circonvenais,faisais,prenais,déteignais,immobilisais
Imparfai Il,agissait,opérait,pratiquait,suggestionnait,exécutait,pratiquait,circonvenait,faisait,prenait,déteignait,immobilisait
Imparfait nous,agissions,opérions,pratiquions,suggestionnions,exécutions,pratiquions,circonvenions,faisions,prenions,déteignions,immobilisions
Imparfait Vous,agissiez,opériez,pratiquiez,suggestionniez,exécutiez,pratiquiez,circonveniez,faisiez,preniez,déteigniez,immobilisiez
Imparfait Ils,agissaient,opéraient,pratiquaient,suggestionnaient,exécutaient,pratiquaient,circonvenaient,faisaient,prenaient,déteignaient,immobilisaient
Futur Je,agirai,opérerai,pratiquerai,suggestionnerai,exécuterai,pratiquerai,circonviendrai,ferai,prendrai,déteindrai,immobiliserai
Futur tu,agiras,opéreras,pratiqueras,suggestionneras,exécuteras,pratiqueras,circonviendras,feras,prendras,déteindras,immobiliseras
Futur il,agira,opérera,pratiquera,suggestionnera,exécutera,pratiquera,circonviendra,fera,prendra,déteindra,immobilisera
Futur nous,agirons,opérerons,pratiquerons,suggestionnerons,exécuterons,pratiquerons,circonviendrons,ferons,prendrons,déteindrons,immobiliserons
Futur vous,agirez,opérerez,pratiquerez,suggestionnerez,exécuterez,pratiquerez,circonviendrez,ferez,prendrez,déteindrez,immobiliserez
Futur ils,agiront,opéreront,pratiqueront,suggestionneront,exécuteront,pratiqueront,circonviendront,feront,prendront,déteindront,immobiliseront
