,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,Contraire
Infinitif,aller,cheminer,passer,remuer,marcher,avancer,aventurer,,,,rester
Présent Je,vais,chemine,passe,remue,marche,avance,aventure,,,,reste
Présent tu,vas,chemines,passes,remues,marches,avances,aventures,,,,restes
Présent Il,va,chemine,passe,remue,marche,avance,aventure,,,,reste
Présent Nous,allons,cheminons,passons,remuons,marchons,avançons,aventurons,,,,restons
Présent Vous,allez,cheminez,passez,remuez,marchez,avancez,aventurez,,,,restez
Présent Ils,vont,cheminent,passent,remuent,marchent,avancent,aventurent,,,,restent
Imparfait Je,allais,cheminais,passais,remuais,marchais,avançais,aventurais,,,,restais
Imparfait Tu,allais,cheminais,passais,remuais,marchais,avançais,aventurais,,,,restais
Imparfai Il,allait,cheminait,passait,remuait,marchait,avançait,aventurait,,,,restait
Imparfait nous,allions,cheminions,passions,remuions,marchions,avancions,aventurions,,,,restions
Imparfait Vous,alliez,cheminiez,passiez,remuiez,marchiez,avanciez,aventuriez,,,,restiez
Imparfait Ils,allaient,cheminaient,passaient,remuaient,marchaient,avançaient,aventuraient,,,,restaient
Futur Je,irai,cheminerai,passerai,remuerai,marcherai,avancerai,aventurerai,,,,resterai
Futur tu,iras,chemineras,passeras,remueras,marcheras,avanceras,aventureras,,,,resteras
Futur il,ira, cheminera,passera,remuera,marchera,avancera,aventurera,,,,restera
Futur nous,irons,cheminerons,passerons,remuerons,marcherons,avancerons,aventurerons,,,,resterons
Futur vous,irez,cheminerez,passerez,remuerez,marcherez,avancerez,aventurerez,,,,resterez
Futur ils,iront,chemineront,passeront,remueront,marcheront,avanceront,aventureront,,,,resteront
