,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,Contraire
Infinitif,asseoir,accroupir,coucher,affaisser,lever,sauter,bondir,installer,affermir,convenir,lever
Présent je,assois,m'accroupis,couche,affaisse,lève,saute,bondis,installe,affermis,conviens,lève
Présent tu,assois,t'accroupis,couches,affaisses,lèves,sautes,bondis,installes,affermis,conviens,lèves
Présent il,assoit,s'accroupit,couche,affaisse,lève,saute,bondit,installe,affermit,convient,lève
Présent Nous, assoyons,nous accroupissons,couchons,affaissons,levons,sautons,bondissons,installons,affermissons,convenons,levons
Présent Vous,assoyez,vous accroupissez,couchez,affaissez,levez,sautez,bondissez,installez,affermissez,convenez,levez
Présent Ils,assoient,s'accroupissent,couchent,affaissent,lèvent,sautent,bondissent,installent,affermissent,conviennent,lèvent
Imparfait Je,assoyais,m'accroupissais,couchais,affaissais,levais,sautais,bondissais,installais,affermissais,convenais,levais
Imparfait Tu,assoyais,t'accroupissais,couchais,affaissais,levais,sautais,bondissais,installais,affermissais,convenais,levais
Imparfai Il,assoyait,s'accroupissait,couchait,affaissait,levait,sautait,bondissait,installait,affermissait,convenait,levait
Imparfait nous,assoyions,nous accroupissions,couchions,affaissions,levions,sautions,bondissions,installions,affermissions,convenions,levions
Imparfait Vous,assoyiez,vous accroupissiez,couchiez,affaissiez,leviez,sautiez,bondissiez,installiez,affermissiez,conveniez,leviez
Imparfait Ils,assoyaient,s'accroupissaient,couchaient,affaissaient,levaient,sautaient,bondissaient,installaient,affermissaient,convenaient,levaient
Futur Je,assoirai,m'accroupirai,coucherai,affaisserai,lèverai,sauterai,bondirai,installerai,affermirai,conviendrai,lèverai
Futur tu,assoiras,t'accroupiras,coucheras,affaisseras,lèveras,sauteras,bondiras,installeras,affermiras,conviendras,lèveras
Futur il,assoira,s'accroupira,couchera,affaissera,lèvera,sautera,bondira,installera,affermira,conviendra,lèvera
Futur nous,assoirons,nous accroupirons,coucherons,affaisserons,lèverons,sauterons,bondirons,installerons,affermirons,conviendrons,lèverons
Futur vous,assoirez,vous accroupirez,coucherez,affaisserez,lèverez,sauterez,bondirez,installerez,affermirez,conviendrez,lèverez
Futur ils,assoiront,s'accroupiront,coucheront,affaisseront,lèveront,sauteront,bondiront,installeront,affermiront,conviendront,lèveront
