,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,Contraire
Infinitif,avoir,posséder,disposer,tenir,garder,dominer,séquestrer,renfermer,pouvoir,,être
Présent Je,ai,possède,dispose,tiens,garde,domine,séquestre,renferme,peux,,suis
Présent tu,as,possèdes,disposes,tiens,gardes,domines,séquestres,renfermes,peux,,es
Présent Il,a,possède,dispose,tient,garde,domine,séquestre,renferme,peut,,est
Présent Nous,avons,possédons,disposons,tenons,gardons,dominons,séquestrons,renfermons,pouvons,,sommes
Présent Vous,avez,possédez,disposez,tenez,gardez,dominez,séquestrez,renfermez,pouvez,,êtes
Présent Ils,ont,possèdent,disposent,tiennent,gardent,dominent,séquestrent,renferment,peuvent,,sont
Imparfait Je,avais,possédais,disposais,tenais,gardais,dominais,séquestrais,renfermais,pouvais,,étais
Imparfait Tu,avais,possédais,disposais,tenais,gardais,dominais,séquestrais,renfermais,pouvais,,étais
Imparfai Il,avait,possédait,disposait,tenait,gardait,dominait,séquestrait,renfermait,pouvait,,était
Imparfait nous,avions,possédions,disposions,tenions,gardions,dominions,séquestrions,renfermions,pouvions,,étions
Imparfait Vous,aviez,possédiez,disposiez,teniez,gardiez,dominiez,séquestriez,renfermiez,pouviez,,étiez
Imparfait Ils,avaient,possédaient,disposaient,tenaient,gardaient,dominaient,séquestraient,renfermaient,pouvaient,,étaient
Futur Je,aurai,posséderai,disposerai,tiendrai,garderai,dominerai,séquestrerai,renfermerai,pourrai,,serai
Futur tu,auras,posséderas,disposeras,tiendras,garderas,domineras,séquestreras,renfermeras,pourras,,seras
Futur il,aura,possédera,disposera,tiendra,gardera,dominera,séquestrera,renfermera,pourra,,sera
Futur nous,aurons,posséderons,disposerons,tiendrons,garderons,dominerons,séquestrerons,renfermerons,pourrons,,serons
Futur vous,aurez,posséderez,disposerez,tiendrez,garderez,dominerez,séquestrerez,renfermerez,pourrez,,serez
Futur ils,auront,posséderont,disposeront,tiendront,garderont,domineront,séquestreront,renfermeront,pourront,,seront
