,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,Contraire
Infinitif,croire,imaginer,envisager,supposer,admettre,concevoir,gober,rêver,conjecturer,combiner,douter
Présent Je,crois,imagine,envisage,suppose,admets,conçois,gobe,rêve,conjecture,combine,doute
Présent tu,crois,imagines,envisages,supposes,admets,conçois,gobes,rêves,conjectures,combines,doutes
Présent Il,croit,imagine,envisage,suppose,admet,conçoit,gobe,rêve,conjecture,combine,doute
Présent Nous,croyons,imaginons,envisageons,supposons,admettons,concevons,gobons,rêvons,conjecturons,combinons,doutons
Présent Vous,croyez,imaginez,envisagez,supposez,admettez,concevez,gobez,rêvez,conjecturez,combinez,doutez
Présent Ils,croient,imaginent,envisagent,supposent,admettent,conçoivent,gobent,rêvent,conjecturent,combinent,doutent
Imparfait Je,croyais,imaginais,envisageais,supposais,admettais,concevais,gobais,rêvais,conjecturais,combinais,doutais
Imparfait Tu,croyais,imaginais,envisageais,supposais,admettais,concevais,gobais,rêvais,conjecturais,combinais,doutais
Imparfai Il,croyait,imaginait,envisageait,supposait,admettait,concevait,gobait,rêvait,conjecturait,combinait,doutait
Imparfait nous,croyions,imaginions,envisagions,supposions,admettions,concevions,gobions,rêvions,conjecturions,combinions,doutions
Imparfait Vous,croyiez,imaginiez,envisagiez,supposiez,admettiez,conceviez,gobiez,rêviez,conjecturiez,combiniez,doutiez
Imparfait Ils,croyaient,imaginaient,envisageaient,supposaient,admettaient,concevaient,gobaient,rêvaient,conjecturaient,combinaient,doutaient
Futur Je,croirai,imaginerai,envisagerai,supposerai,admettrai,concevrai,goberai,rêverai,conjecturerai,combinerai,douterai
Futur tu,croiras,imagineras,envisageras,supposeras,admettras,concevras,goberas,rêveras,conjectureras,combineras,douteras
Futur il,croira,imaginera,envisagera,supposera,admettra,concevra,gobera,rêvera,conjecturera,combinera,doutera
Futur nous,croirons,imaginerons,envisagerons,supposerons,admettrons,concevrons,goberons,rêverons,conjecturerons,combinerons,douterons
Futur vous,croirez,imaginerez,envisagerez,supposerez,admettrez,concevrez,goberez,rêverez,conjecturerez,combinerez,douterez
Futur ils,croiront,imagineront,envisageront,supposeront,admettront,concevront,goberont,rêveront,conjectureront,combineront,douteront
