,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,,,,,Contraire
Infinitif,cuire,mijoter,chauffer,tiédir,griller,incendier,carboniser,boucaner,murir,déssecher,mitonner,bouillir,rôtir,rissoler,refroidir,réfrigérer
Présent Je,cuis,mijote,chauffe,tiédis,grille,incendie,carbonise,boucane,mûris,dessèche,mitonne,bous,rôtis,rissole,refroidis,réfrigère
Présent tu,cuis,mijotes,chauffes,tiédis,grilles,incendies,carbonises,boucanes,mûris,dessèches,mitonnes,bous,rôtis,rissoles,refroidis,réfrigères
Présent Il,cuit,mijote,chauffe,tiédit,grille,incendie,carbonise,boucane,mûrit,dessèche,mitonne,bout,rôtit,rissole,refroidit,réfrigère
Présent Nous,cuisons,mijotons,chauffons,tiédissons,grillons,incendions,carbonisons,boucanons,mûrissons,desséchons,mitonnons,bouillons,rôtissons,rissolons,refroidissons,réfrigérons
Présent Vous,cuisez,mijotez,chauffez,tiédissez,grillez,incendiez,carbonisez,boucanez,mûrissez,desséchez,mitonnez,bouillez,rôtissez,rissolez,refroidissez,réfrigérez
Présent Ils,cuisent,mijotent,chauffent,tiédissent,grillent,incendient,carbonisent,boucanent,mûrissent,dessèchent,mitonnent,bouillent,rôtissent,rissolent,refroidissent,réfrigèrent
Imparfait Je,cuisais,mijotais,chauffais,tiédissais,grillais,incendiais,carbonisais,boucanais,mûrissais,desséchais,mitonnais,bouillais,rôtissais,rissolais,refroidissais,réfrigérais
Imparfait Tu,cuisais,mijotais,chauffais,tiédissais,grillais,incendiais,carbonisais,boucanais,mûrissais,desséchais,mitonnais,bouillais,rôtissais,rissolais,refroidissais,réfrigérais
Imparfai Il,cuisait,mijotait,chauffait,tiédissait,grillait,incendiait,carbonisait,boucanait,mûrissait,desséchait,mitonnait,bouillait,rôtissait,rissolait,refroidissait,réfrigérait
Imparfait nous,cuisions,mijotions,chauffions,tiédissions,grillions,incendiions,carbonisions,boucanions,mûrissions,desséchions,mitonnions,bouillions,rôtissions,rissolions,refroidissions,réfrigérions
Imparfait Vous,cuisiez,mijotiez,chauffiez,tiédissiez,grilliez,incendiiez,carbonisiez,boucaniez,mûrissiez,desséchiez,mitonniez,bouilliez,rôtissiez,rissoliez,refroidissiez,réfrigériez
Imparfait Ils,cuisaient,mijotaient,chauffaient,tiédissaient,grillaient,incendiaient,carbonisaient,boucanaient,mûrissaient,desséchaient,mitonnaient,bouillaient,rôtissaient,rissolaient,refroidissaient,réfrigéraient
Futur Je,cuirai,mijoterai,chaufferai,tiédirai,grillerai,incendierai,carboniserai,boucanerai,mûrirai,dessécherai,mitonnerai,bouillirai,rôtirai,rissolerai,refroidirai,réfrigérerai
Futur tu,cuiras,mijoteras,chaufferas,tiédiras,grilleras,incendieras,carboniseras,boucaneras,mûriras,dessécheras,mitonneras,bouilliras,rôtiras,rissoleras,refroidiras,réfrigéreras
Futur il,cuira,mijotera,chauffera,tiédira,grillera,incendiera,carbonisera,boucanera,mûrira,desséchera,mitonnera,bouillira,rôtira,rissolera,refroidira,réfrigérera
Futur nous,cuirons,mijoterons,chaufferons,tiédirons,grillerons,incendierons,carboniserons,boucanerons,mûrirons,dessécherons,mitonnerons,bouillirons,rôtirons,rissolerons,refroidirons,réfrigérerons
Futur vous,cuirez,mijoterez,chaufferez,tiédirez,grillerez,incendierez,carboniserez,boucanerez,mûrirez,dessécherez,mitonnerez,bouillirez,rôtirez,rissolerez,refroidirez,réfrigérerez
Futur ils,cuiront,mijoteront,chaufferont,tiédiront,grilleront,incendieront,carboniseront,boucaneront,mûriront,dessécheront,mitonneront,bouilliront,rôtiront,rissoleront,refroidiront,réfrigéreront
