,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,Contraire
Infinitif,demander,questionner,solliciter,écouter,commander,ordonner,sommer,interwiever,scruter,tester,imposer
Présent Je,demande,questionne,sollicite,écoute,commande,ordonne,somme,interviewe,scrute,teste,impose
Présent tu,demandes,questionnes,sollicites,écoutes,commandes,ordonnes,sommes,interviewes,scrutes,testes,imposes
Présent Il,demande,questionne,sollicite,écoute,commande,ordonne,somme,interviewe,scrute,teste,impose
Présent Nous,demandons,questionnons,sollicitons,écoutons,commandons,ordonnons,sommons,interviewons,scrutons,testons,imposons
Présent Vous,demandez,questionnez,sollicitez,écoutez,commandez,ordonnez,sommez,interviewez,scrutez,testez,imposez
Présent Ils,demandent,questionnent,sollicitent,écoutent,commandent,ordonnent,somment,interviewent,scrutent,testent,imposent
Imparfait Je,demandais,questionnais,sollicitais,écoutais,commandais,ordonnais,sommais,interviewais,scrutais,testais,imposais
Imparfait Tu,demandais,questionnais,sollicitais,écoutais,commandais,ordonnais,sommais,interviewais,scrutais,testais,imposais
Imparfai Il,demandait,questionnait,sollicitait,écoutait,commandait,ordonnait,sommait,interviewait,scrutait,testait,imposait
Imparfait nous,demandions,questionnions,sollicitions,écoutions,commandions,ordonnions,sommions,interviewions,scrutions,testions,imposions
Imparfait Vous,demandiez,questionniez,sollicitiez,écoutiez,commandiez,ordonniez,sommiez,interviewiez,scrutiez,testiez,imposiez
Imparfait Ils,demandaient,questionnaient,sollicitaient,écoutaient,commandaient,ordonnaient,sommaient,interviewaient,scrutaient,testaient,imposaient
Futur Je,demanderai,questionnerai,solliciterai,écouterai,commanderai,ordonnerai,sommerai,interviewerai,scruterai,testerai,imposerai
Futur tu,demanderas,questionneras,solliciteras,écouteras,commanderas,ordonneras,sommeras,intervieweras,scruteras,testeras,imposeras
Futur il,demandera,questionnera,sollicitera,écoutera,commandera,ordonnera,sommera,interviewera,scrutera,testera,imposera
Futur nous,demanderons,questionnerons,solliciterons,écouterons,commanderons,ordonnerons,sommerons,interviewerons,scruterons,testerons,imposerons
Futur vous,demanderez,questionnerez,solliciterez,écouterez,commanderez,ordonnerez,sommerez,interviewerez,scruterez,testerez,imposerez
Futur ils,demanderont,questionneront,solliciteront,écouteront,commanderont,ordonneront,sommeront,intervieweront,scruteront,testeront,imposeront
