,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,Contraire
Infinitif,être,vivre,exister,subsister,appartenir,convenir,habiter,demeurer,habiter,participer,avoir
Présent Je,suis,vis,existe,subsiste,appartiens,conviens,habite,demeure,habite,participe,ai
Présent tu,es,vis,existes,subsistes,appartiens,conviens,habites,demeures,habites,participes,as
Présent Il,est,vit,existe,subsiste,appartient,convient,habite,demeure,habite,participe,a
Présent Nous,sommes,vivons,existons,subsistons,appartenons,convenons,habitons,demeurons,habitons,participons,avons
Présent Vous,êtes,vivez,existez,subsistez,appartenez,convenez,habitez,demeurez,habitez,participez,avez
Présent Ils,sont,vivent,existent,subsistent,appartiennent,conviennent,habitent,demeurent,habitent,participent,ont
Imparfait Je,étais,vivais,existais,subsistais,appartenais,convenais,habitais,demeurais,habitais,participais,avais
Imparfait Tu,étais,vivais,existais,subsistais,appartenais,convenais,habitais,demeurais,habitais,participais,avais
Imparfai Il,était,vivait,existait,subsistait,appartenait,convenait,habitait,demeurait,habitait,participait,avait
Imparfait nous,étions,vivions,existions,subsistions,appartenions,convenions,habitions,demeurions,habitions,participions,avions
Imparfait Vous,étiez,viviez,existiez,subsistiez,apparteniez,conveniez,habitiez,demeuriez,habitiez,participiez,aviez
Imparfait Ils,étaient,vivaient,existaient,subsistaient,appartenaient,convenaient,habitaient,demeuraient,habitaient,participaient,avaient
Futur Je,serai,vivrai,existerai,subsisterai,appartiendrai,conviendrai,habiterai,demeurerai,habiterai,participerai,aurai
Futur tu,seras,vivras,existeras,subsisteras,appartiendras,conviendras,habiteras,demeureras,habiteras,participeras,auras
Futur il,sera,vivra,existera,subsistera,appartiendra,conviendra,habitera,demeurera,habitera,participera,aura
Futur nous,serons,vivrons,existerons,subsisterons,appartiendrons,conviendrons,habiterons,demeurerons,habiterons,participerons,aurons
Futur vous,serez,vivrez,existerez,subsisterez,appartiendrez,conviendrez,habiterez,demeurerez,habiterez,participerez,aurez
Futur ils,seront,vivront,existeront,subsisteront,appartiendront,conviendront,habiteront,demeureront,habiteront,participeront,auront
