,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,Contraire
Infinitif,goûter,priser,admirer,apprécier,adorer,vénérer,idolatrer,déguster,jouir,raffoler,ignorer
Présent Je,goûte,prise,admire,apprécie,adore,vénère,idolâtre,déguste,jouis,raffole,ignore
Présent tu,goûtes,prises,admires,apprécies,adores,vénères,idolâtres,dégustes,jouis,raffoles,ignores
Présent Il,goûte,prise,admire,apprécie,adore,vénère,idolâtre,déguste,jouit,raffole,ignore
Présent Nous,goûtons,prisons,admirons,apprécions,adorons,vénérons,idolâtrons,dégustons,jouissons,raffolons,ignorons
Présent Vous,goûtez,prisez,admirez,appréciez,adorez,vénérez,idolâtrez,dégustez,jouissez,raffolez,ignorez
Présent Ils,goûtent,prisent,admirent,apprécient,adorent,vénèrent,idolâtrent,dégustent,jouissent,raffolent,ignorent
Imparfait Je,goûtais,prisais,admirais,appréciais,adorais,vénérais,idolâtrais,dégustais,jouissais,raffolais,ignorais
Imparfait Tu,goûtais,prisais,admirais,appréciais,adorais,vénérais,idolâtrais,dégustais,jouissais,raffolais,ignorais
Imparfai Il,goûtait,prisait,admirait,appréciait,adorait,vénérait,idolâtrait,dégustait,jouissait,raffolait,ignorait
Imparfait nous,goûtions,prisions,admirions,appréciions,adorions,vénérions,idolâtrions,dégustions,jouissions,raffolions,ignorions
Imparfait Vous,goûtiez,prisiez,admiriez,appréciiez,adoriez,vénériez,idolâtriez,dégustiez,jouissiez,raffoliez,ignoriez
Imparfait Ils,goûtaient,prisaient,admiraient,appréciaient,adoraient,vénéraient,idolâtraient,dégustaient,jouissaient,raffolaient,ignoraient
Futur Je,goûterai,priserai,admirerai,apprécierai,adorerai,vénérerai,idolâtrerai,dégusterai,jouirai,raffolerai,ignorerai
Futur tu,goûteras,priseras,admireras,apprécieras,adoreras,vénéreras,idolâtreras,dégusteras,jouiras,raffoleras,ignoreras
Futur il,goûtera,prisera,admirera,appréciera,adorera,vénérera,idolâtrera,dégustera,jouira,raffolera,ignorera
Futur nous,goûterons,priserons,admirerons,apprécierons,adorerons,vénérerons,idolâtrerons,dégusterons,jouirons,raffolerons,ignorerons
Futur vous,goûterez,priserez,admirerez,apprécierez,adorerez,vénérerez,idolâtrerez,dégusterez,jouirez,raffolerez,ignorerez
Futur ils,goûteront,priseront,admireront,apprécieront,adoreront,vénéreront,idolâtreront,dégusteront,jouiront,raffoleront,ignoreront
