,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,Contraire
Infinitif,mentir,inventer,plaisanter,enjoliver,fanfaronner,falsifier,calomnier,bluffer,broder,abuser,prouver
Présent Je,mens,invente,plaisante,enjolive,fanfaronne,falsifie,calomnie,bluffe,brode,abuse,prouve
Présent tu,mens,inventes,plaisantes,enjolives,fanfaronnes,falsifies,calomnies,bluffes,brodes,abuses,prouves
Présent Il,ment,invente,plaisante,enjolive,fanfaronne,falsifie,calomnie,bluffe,brode,abuse,prouve
Présent Nous,mentons,inventons,plaisantons,enjolivons,fanfaronnons,falsifions,calomnions,bluffons,brodons,abusons,prouvons
Présent Vous,mentez,inventez,plaisantez,enjolivez,fanfaronnez,falsifiez,calomniez,bluffez,brodez,abusez,prouvez
Présent Ils,mentent,inventent,plaisantent,enjolivent,fanfaronnent,falsifient,calomnient,bluffent,brodent,abusent,prouvent
Imparfait Je,mentais,inventais,plaisantais,enjolivais,fanfaronnais,falsifiais,calomniais,bluffais,brodais,abusais,prouvais
Imparfait Tu,mentais,inventais,plaisantais,enjolivais,fanfaronnais,falsifiais,calomniais,bluffais,brodais,abusais,prouvais
Imparfai Il,mentait,inventait,plaisantait,enjolivait,fanfaronnait,falsifiait,calomniait,bluffait,brodait,abusait,prouvait
Imparfait nous,mentions,inventions,plaisantions,enjolivions,fanfaronnions,falsifiions,calomniions,bluffions,brodions,abusions,prouvions
Imparfait Vous,mentiez,inventiez,plaisantiez,enjoliviez,fanfaronniez,falsifiiez,calomniiez,bluffiez,brodiez,abusiez,prouviez
Imparfait Ils,mentaient,inventaient,plaisantaient,enjolivaient,fanfaronnaient,falsifiaient,calomniaient,bluffaient,brodaient,abusaient,prouvaient
Futur Je,mentirai,inventerai,plaisanterai,enjoliverai,fanfaronnerai,falsifierai,calomnierai,blufferai,broderai,abuserai,prouverai
Futur tu,mentiras,inventeras,plaisanteras,enjoliveras,fanfaronneras,falsifieras,calomnieras,blufferas,broderas,abuseras,prouveras
Futur il,mentira,inventera,plaisantera,enjolivera,fanfaronnera,falsifiera,calomniera,bluffera,brodera,abusera,prouvera
Futur nous,mentirons,inventerons,plaisanterons,enjoliverons,fanfaronnerons,falsifierons,calomnierons,blufferons,broderons,abuserons,prouverons
Futur vous,mentirez,inventerez,plaisanterez,enjoliverez,fanfaronnerez,falsifierez,calomnierez,blufferez,broderez,abuserez,prouverez
Futur ils,mentiront,inventeront,plaisanteront,enjoliveront,fanfaronneront,falsifieront,calomnieront,blufferont,broderont,abuseront,prouveront
