,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,Contraire
Infinitif,mordre,mâcher,mâchouiller,pincer,croquer,dévorer,déchiqueter,entamer,ronger,piquer,embrasser
Présent Je,mords,mâche,mâchouille,pince,croque,dévore,déchiquette,entame,ronge,pique,embrasse
Présent tu,mords,mâches,mâchouilles,pinces,croques,dévores,déchiquettes,entames,ronges,piques,embrasses
Présent Il,mord,mâche,mâchouille,pince,croque,dévore,déchiquette,entame,ronge,pique,embrasse
Présent Nous,mordons,mâchons,mâchouillons,pinçons,croquons,dévorons,déchiquetons,entamons,rongeons,piquons,embrassons
Présent Vous,mordez,mâchez,mâchouillez,pincez,croquez,dévorez,déchiquetez,entamez,rongez,piquez,embrassez
Présent Ils,mordent,mâchent,mâchouillent,pincent,croquent,dévorent,déchiquettent,entament,rongent,piquent,embrassent
Imparfait Je,mordais,mâchais,mâchouillais,pinçais,croquais,dévorais,déchiquetais,entamais,rongeais,piquais,embrassais
Imparfait Tu,mordais,mâchais,mâchouillais,pinçais,croquais,dévorais,déchiquetais,entamais,rongeais,piquais,embrassais
Imparfai Il,mordait,mâchait,mâchouillait,pinçait,croquait,dévorait,déchiquetait,entamait,rongeait,piquait,embrassait
Imparfait nous,mordions,mâchions,mâchouillions,pincions,croquions,dévorions,déchiquetions,entamions,rongions,piquions,embrassions
Imparfait Vous,mordiez,mâchiez,mâchouilliez,pinciez,croquiez,dévoriez,déchiquetiez,entamiez,rongiez,piquiez,embrassiez
Imparfait Ils,mordaient,mâchaient,mâchouillaient,pinçaient,croquaient,dévoraient,déchiquetaient,entamaient,rongeaient,piquaient,embrassaient
Futur Je,mordrai,mâcherai,mâchouillerai,pincerai,croquerai,dévorerai,déchiquetterai,entamerai,rongerai,piquerai,embrasserai
Futur tu,mordras,mâcheras,mâchouilleras,pinceras,croqueras,dévoreras,déchiquetteras,entameras,rongeras,piqueras,embrasseras
Futur il,mordra,mâchera,mâchouillera,pincera,croquera,dévorera,déchiquettera,entamera,rongera,piquera,embrassera
Futur nous,mordrons,mâcherons,mâchouillerons,pincerons,croquerons,dévorerons,déchiquetterons,entamerons,rongerons,piquerons,embrasserons
Futur vous,mordrez,mâcherez,mâchouillerez,pincerez,croquerez,dévorerez,déchiquetterez,entamerez,rongerez,piquerez,embrasserez
Futur ils,mordront,mâcheront,mâchouilleront,pinceront,croqueront,dévoreront,déchiquetteront,entameront,rongeront,piqueront,embrasseront
