,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,Contraire
Infinitif,ouvrir,ajourer,entrebailler,aérer,forcer,débrider,scarifier,étrenner,couper,écarquiller,fermer
Présent Je,ouvre,ajoure,entrebâille,aère,force,débride,scarifie,étrenne,coupe,écarquille,ferme
Présent tu,ouvres,ajoures,entrebâilles,aères,forces,débrides,scarifies,étrennes,coupes,écarquilles,fermes
Présent Il,ouvre,ajoure,entrebâille,aère,force,débride,scarifie,étrenne,coupe,écarquille,ferme
Présent Nous,ouvrons,ajourons,entrebâillons,aérons,forçons,débridons,scarifions,étrennons,coupons,écarquillons,fermons
Présent Vous,ouvrez,ajourez,entrebâillez,aérez,forcez,débridez,scarifiez,étrennez,coupez,écarquillez,fermez
Présent Ils,ouvrent,ajourent,entrebâillent,aèrent,forcent,débrident,scarifient,étrennent,coupent,écarquillent,ferment
Imparfait Je,ouvrais,ajourais,entrebâillais,aérais,forçais,débridais,scarifiais,étrennais,coupais,écarquillais,fermais
Imparfait Tu,ouvrais,ajourais,entrebâillais,aérais,forçais,débridais,scarifiais,étrennais,coupais,écarquillais,fermais
Imparfai Il,ouvrait,ajourait,entrebâillait,aérait,forçait,débridait,scarifiait,étrennait,coupait,écarquillait,fermait
Imparfait nous,ouvrions,ajourions,entrebâillions,aérions,forcions,débridions,scarifiions,étrennions,coupions,écarquillions,fermions
Imparfait Vous,ouvriez,ajouriez,entrebâilliez,aériez,forciez,débridiez,scarifiiez,étrenniez,coupiez,écarquilliez,fermiez
Imparfait Ils,ouvraient,ajouraient,entrebâillaient,aéraient,forçaient,débridaient,scarifiaient,étrennaient,coupaient,écarquillaient,fermaient
Futur Je,ouvrirai,ajourerai,entrebâillerai,aérerai,forcerai,débriderai,scarifierai,étrennerai,couperai,écarquillerai,fermerai
Futur tu,ouvriras,ajoureras,entrebâilleras,aéreras,forceras,débrideras,scarifieras,étrenneras,couperas,écarquilleras,fermeras
Futur il,ouvrira,ajourera, entrebâillera,aérera,forcera,débridera,scarifiera,étrennera,coupera,écarquillera,fermera
Futur nous,ouvrirons,ajourerons,entrebâillerons,aérerons,forcerons,débriderons,scarifierons,étrennerons,couperons,écarquillerons,fermerons
Futur vous,ouvrirez,ajourerez,entrebâillerez,aérerez,forcerez,débriderez,scarifierez,étrennerez,couperez,écarquillerez,fermerez
Futur ils,ouvriront,ajoureront,entrebâilleront,aéreront,forceront,débrideront,scarifieront,étrenneront,couperont,écarquilleront,fermeront
