,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,contraire
infinitif,parler,chuchoter,susurrer,murmurer,crier,rugir,hurler,bavarder,causer,converser,se taire
Présent Je,parle,chuchote,susurre,murmure,crie,rugis,hurle,bavarde,cause,converse,me fais
Présent tu,parles,chuchotes,susurres,murmures,cries,rugis,hurles,bavardes,causes,converses,te fais
Présent Il,parle,chuchote,susurre,murmure,crie,rugit,hurle,bavarde,cause,converse,se fait
Présent Nous,parlons,chuchotons,susurrons,murmurons,crions,rugissons,hurlons,bavardons,causons,conversons,nous faisons
Présent Vous,parlez,chuchotez,susurrez,murmurez,criez,rugissez,hurlez,bavardez,causez,conversez,vous faites
Présent Ils,parlent,chuchotent,susurrent,murmurent,crient,rugissent,hurlent,bavardent,causent,conversent,se font
Imparfait Je,parlais,chuchotais,susurrais,murmurais,criais,rugissais,hurlais,bavardais,causais,conversais,me faisais
Imparfait Tu,parlais,chuchotais,susurrais,murmurais,criais,rugissais,hurlais,bavardais,causais,conversais,te faisais
Imparfai Il,parlait,chuchotait,susurrait,murmurait,criait,rugissait,hurlait,bavardait,causait,conversait,se faisait
Imparfait nous,parlions,chuchotions,susurrions,murmurions,criions,rugissions,hurlions,bavardions,causions,conversions,nous faisions
Imparfait Vous,parliez,chuchotiez,susurriez,murmuriez,criiez,rugissiez,hurliez,bavardiez,causiez,conversiez,vous faisiez
Imparfait Ils,parlaient,chuchotaient,susurraient,murmuraient,criaient,rugissaient,hurlaient,bavardaient,causaient,conversaient,se faisaient
Futur Je,parlerai,chuchoterai,susurrerai,murmurerai,crierai,rugirai,hurlerai,bavarderai,causerai,converserai,me ferai
Futur tu,parleras,chuchoteras,susurreras,murmureras,crieras,rugiras,hurleras,bavarderas,causeras,converseras,te feras
Futur il,parlera,chuchotera,susurrera,murmurera,criera,rugira,hurlera,bavardera,causera,conversera,se fera
Futur nous,parlerons,chuchoterons,susurrerons,murmurerons,crierons,rugirons,hurlerons,bavarderons,causerons,converserons,nous ferons
Futur vous,parlerez,chuchoterez,susurrerez,murmurerez,crierez,rugirez,hurlerez,bavarderez,causerez,converserez,vous ferez
Futur ils,parleront,chuchoteront,susurreront,murmureront,crieront,rugiront,hurleront,bavarderont,causeront,converseront,se feront
