,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,Contraire
Infinitif,pleurer,geindre,gémir,sangloter,lamenter,couiner,beugler,crier,larmoyer,regretter,rire
Présent Je,pleure,geins,gémis,sanglote,me lamente,couine,beugle,crie,larmoie,regrette,ris
Présent tu,pleures,geins,gémis,sanglotes,te lamentes,couines,beugles,cries,larmoies,regrettes,ris
Présent Il,pleure,geint,gémit,sanglote,se lamente,couine,beugle,crie,larmoie,regrette,rit
Présent Nous,pleurons,geignons,gémissons,sanglotons,nous lamentons,couinons,beuglons,crions,larmoyons,regrettons,rions
Présent Vous,pleurez,geignez,gémissez,sanglotez,vous lamentez,couinez,beuglez,criez,larmoyez,regrettez,riez
Présent Ils,pleurent,geignent,gémissent,sanglotent,se lamentent,couinent,beuglent,crient,larmoient,regrettent,rient
Imparfait Je,pleurais,geignais,gémissais,sanglotais,me lamentais,couinais,beuglais,criais,larmoyais,regrettais,riais
Imparfait Tu,pleurais,geignais,gémissais,sanglotais,te lamentais,couinais,beuglais,criais,larmoyais,regrettais,riais
Imparfai Il,pleurait,geignait,gémissait,sanglotait,se lamentait,couinait,beuglait,criait,larmoyait,regrettait,riait
Imparfait nous,pleurions,geignions,gémissions,sanglotions,nous lamentions,couinions,beuglions,criions,larmoyions,regrettions,riions
Imparfait Vous,pleuriez,geigniez,gémissiez,sanglotiez,vous lamentiez,couiniez,beugliez,criiez,larmoyiez,regrettiez,riiez
Imparfait Ils,pleuraient,geignaient,gémissaient,sanglotaient,se lamentaient,couinaient,beuglaient,criaient,larmoyaient,regrettaient,riaient
Futur Je,pleurerai,geindrai,gémirai,sangloterai,me lamenterai,couinerai,beuglerai,crierai,larmoierai,regretterai,rirai
Futur tu,pleureras,geindras,gémiras,sangloteras,te lamenteras,couineras,beugleras,crieras,larmoieras,regretteras,riras
Futur il,pleurera,geindra,gémira,sanglotera,se lamentera,couinera,beuglera,criera,larmoiera,regrettera,rira
Futur nous,pleurerons,geindrons,gémirons,sangloterons,nous lamenterons,couinerons,beuglerons,crierons,larmoierons,regretterons,rirons
Futur vous,pleurerez,geindrez,gémirez,sangloterez,vous lamenterez,couinerez,beuglerez,crierez,larmoierez,regretterez,rirez
Futur ils,pleureront,geindront,gémiront,sangloteront,se lamenteront,couineront,beugleront,crieront,larmoieront,regretteront,riront
