,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,Contraire
Infinitif,réfléchir,cogiter,gamberger,fumer,méditer,songer,rêver,échafauder,approfondir,spéculer,faire
Présent Je,réfléchis,cogite,gamberge,fume,médite,songe,rêve,échafaude,approfondis,spécule,fais
Présent tu,réfléchis,cogites,gamberges,fumes,médites,songes,rêves,échafaudes,approfondis,spécules,fais
Présent Il,réfléchit,cogite,gamberge,fume,médite,songe,rêve,échafaude,approfondit,spécule,fait
Présent Nous,réfléchissons,cogitons,gambergeons,fumons,méditons,songeons,rêvons,échafaudons,approfondissons,spéculons,faisons
Présent Vous,réfléchissez,cogitez,gambergez,fumez,méditez,songez,rêvez,échafaudez,approfondissez,spéculez,faites
Présent Ils,réfléchissent,cogitent,gambergent,fument,méditent,songent,rêvent,échafaudent,approfondissent,spéculent,font
Imparfait Je,réfléchissais,cogitais,gambergeais,fumais,méditais,songeais,rêvais,échafaudais,approfondissais,spéculais,faisais
Imparfait Tu,réfléchissais,cogitais,gambergeais,fumais,méditais,songeais,rêvais,échafaudais,approfondissais,spéculais,faisais
Imparfai Il,réfléchissait,cogitait,gambergeait,fumait,méditait,songeait,rêvait,échafaudait,approfondissait,spéculait,faisait
Imparfait nous,réfléchissions,cogitions,gambergions,fumions,méditions,songions,rêvions,échafaudions,approfondissions,spéculions,faisions
Imparfait Vous,réfléchissiez,cogitiez,gambergiez,fumiez,méditiez,songiez,rêviez,échafaudiez,approfondissiez,spéculiez,faisiez
Imparfait Ils,réfléchissaient,cogitaient,gambergeaient,fumaient,méditaient,songeaient,rêvaient,échafaudaient,approfondissaient,spéculaient,faisaient
Futur Je,réfléchirai,cogiterai,gambergerai,fumerai,méditerai,songerai,rêverai,échafauderai,approfondirai,spéculerai,ferai
Futur tu,réfléchiras,cogiteras,gambergeras,fumeras,méditeras,songeras,rêveras,échafauderas,approfondiras,spéculeras,feras
Futur il,réfléchira,cogitera,gambergera,fumera,méditera,songera,rêvera,échafaudera,approfondira,spéculera,fera
Futur nous,réfléchirons,cogiterons,gambergerons,fumerons,méditerons,songerons,rêverons,échafauderons,approfondirons,spéculerons,ferons
Futur vous,réfléchirez,cogiterez,gambergerez,fumerez,méditerez,songerez,rêverez,échafauderez,approfondirez,spéculerez,ferez
Futur ils,réfléchiront,cogiteront,gambergeront,fumeront,méditeront,songeront,rêveront,échafauderont,approfondiront,spéculeront,feront
