,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,Contraire
Infinitif,rêver,penser,songer,rêvasser,imaginer,fantasmer,affabuler,songer,méditer,aspirer,concrétiser
Présent Je,rêve,pense,songe,rêvasse,imagine,fantasme,affabule,songe,médite,aspire,concrétise
Présent tu,rêves,penses,songes,rêvasses,imagines,fantasmes,affabules,songes,médites,aspires,concrétises
Présent Il,rêve,pense,songe,rêvasse,imagine,fantasme,affabule,songe,médite,aspire,concrétise
Présent Nous,rêvons,pensons,songeons,rêvassons,imaginons,fantasmons,affabulons,songeons,méditons,aspirons,concrétisons
Présent Vous,rêvez,pensez,songez,rêvassez,imaginez,fantasmez,affabulez,songez,méditez,aspirez,concrétisez
Présent Ils,rêvent,pensent,songent,rêvassent,imaginent,fantasment,affabulent,songent,méditent,aspirent,concrétisent
Imparfait Je,rêvais,pensais,songeais,rêvassais,imaginais,fantasmais,affabulais,songeais,méditais,aspirais,concrétisais
Imparfait Tu,rêvais,pensais,songeais,rêvassais,imaginais,fantasmais,affabulais,songeais,méditais,aspirais,concrétisais
Imparfai Il,rêvait,pensait,songeait,rêvassait,imaginait,fantasmait,affabulait,songeait,méditait,aspirait,concrétisait
Imparfait nous,rêvions,pensions,songions,rêvassions,imaginions,fantasmions,affabulions,songions,méditions,aspirions,concrétisions
Imparfait Vous,rêviez,pensiez,songiez,rêvassiez,imaginiez,fantasmiez,affabuliez,songiez,méditiez,aspiriez,concrétisiez
Imparfait Ils,rêvaient,pensaient,songeaient,rêvassaient,imaginaient,fantasmaient,affabulaient,songeaient,méditaient,aspiraient,concrétisaient
Futur Je,rêverai,penserai,songerai,rêvasserai,imaginerai,fantasmerai,affabulerai,songerai,méditerai,aspirerai,concrétiserai
Futur tu,rêveras,penseras,songeras,rêvasseras,imagineras,fantasmeras,affabuleras,songeras,méditeras,aspireras,concrétiseras
Futur il,rêvera,pensera,songera,rêvassera,imaginera,fantasmera,affabulera,songera,méditera,aspirera,concrétisera
Futur nous,rêverons,penserons,songerons,rêvasserons,imaginerons,fantasmerons,affabulerons,songerons,méditerons,aspirerons,concrétiserons
Futur vous,rêverez,penserez,songerez,rêvasserez,imaginerez,fantasmerez,affabulerez,songerez,méditerez,aspirerez,concrétiserez
Futur ils,rêveront,penseront,songeront,rêvasseront,imagineront,fantasmeront,affabuleront,songeront,méditeront,aspireront,concrétiseront
