,Mot,Zoomin,Zoomin-1,Zoomin-2,ZoomOut,ZoomOut-1,ZoomOut-2,Secouer1,Secouer2,Secouer3,Contraire
Infinitif,tourner,biaiser,dévier,changer,braquer,altérer,gâter,filmer,graviter,berner,retourner
Présent Je,tourne,biaise,dévie,change,braque,altère,gâte,filme,gravite,berne,retourne
Présent tu,tournes,biaises,dévies,changes,braques,altères,gâtes,filmes,gravites,bernes,retournes
Présent Il,tourne,biaise,dévie,change,braque,altère,gâte,filme,gravite,berne,retourne
Présent Nous,tournons,biaisons,dévions,changeons,braquons,altérons,gâtons,filmons,gravitons,bernons,retournons
Présent Vous,tournez,biaisez,déviez,changez,braquez,altérez,gâtez,filmez,gravitez,bernez,retournez
Présent Ils,tournent,biaisent,dévient,changent,braquent,altèrent,gâtent,filment,gravitent,bernent,retournent
Imparfait Je,tournais,biaisais,déviais,changeais,braquais,altérais,gâtais,filmais,gravitais,bernais,retournais
Imparfait Tu,tournais,biaisais,déviais,changeais,braquais,altérais,gâtais,filmais,gravitais,bernais,retournais
Imparfai Il,tournait,biaisait,déviait,changeait,braquait,altérait,gâtait,filmait,gravitait,bernait,retournait
Imparfait nous,tournions,biaisions,déviions,changions,braquions,altérions,gâtions,filmions,gravitions,bernions,retournions
Imparfait Vous,tourniez,biaisiez,déviiez,changiez,braquiez,altériez,gâtiez,filmiez,gravitiez,berniez,retourniez
Imparfait Ils,tournaient,biaisaient,déviaient,changeaient,braquaient,altéraient,gâtaient,filmaient,gravitaient,bernaient,retournaient
Futur Je,tournerai,biaiserai,dévierai,changerai,braquerai,altérerai,gâterai,filmerai,graviterai,bernerai,retournerai
Futur tu,tourneras,biaiseras,dévieras,changeras,braqueras,altéreras,gâteras,filmeras,graviteras,berneras,retourneras
Futur il,tournera,biaisera,déviera,changera,braquera,altérera,gâtera,filmera,gravitera,bernera,retournera
Futur nous,tournerons,biaiserons,dévierons,changerons,braquerons,altérerons,gâterons,filmerons,graviterons,bernerons,retournerons
Futur vous,tournerez,biaiserez,dévierez,changerez,braquerez,altérerez,gâterez,filmerez,graviterez,bernerez,retournerez
Futur ils,tourneront,biaiseront,dévieront,changeront,braqueront,altéreront,gâteront,filmeront,graviteront,berneront,retourneront
